Date	pH	Cl-	DOC	CO2(aq)	SOC	CO2(s)
20161205	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161206	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161207	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161208	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161209	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161210	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161211	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161212	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161213	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161214	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161215	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161216	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161217	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161218	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161219	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161220	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161221	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161222	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161223	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161224	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161225	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161226	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161227	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161228	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161229	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161230	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161231	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
